"repo","path","stratum","directory","physical_lines","head","document_reference","reference_count","confirmed_partial_source","confirmed_review","verified_scope","reviewed_sha","source_unchanged_since_review","whole_file_complete","behavior_complete"
"core","actionflow/action_runner.go","primary","actionflow","483","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/action_runner_test.go","test_fixture","actionflow","228","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/action_types.go","primary","actionflow","119","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/mission_runner.go","primary","actionflow","342","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/mission_runner_test.go","test_fixture","actionflow","93","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/plan.go","primary","actionflow","214","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/plan_guards_promises_test.go","test_fixture","actionflow","112","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/promises_test.go","test_fixture","actionflow","68","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/reentrancy_promises_test.go","test_fixture","actionflow","209","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/registry.go","primary","actionflow","130","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/runtime.go","primary","actionflow","77","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","actionflow/types_test.go","test_fixture","actionflow","18","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","admin/admin.go","primary","admin","292","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","admin/admin_test.go","test_fixture","admin","135","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","admin/guards_promises_test.go","test_fixture","admin","37","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","admin/promises_test.go","test_fixture","admin","30","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/behavior_strategy.go","primary","ai","182","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/behavior_test.go","test_fixture","ai","323","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/blackboard.go","primary","ai","51","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/controller.go","primary","ai","269","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/controller_test.go","test_fixture","ai","103","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/guards_promises_test.go","test_fixture","ai","62","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/nodes.go","primary","ai","344","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/strategy.go","primary","ai","30","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/tree.go","primary","ai","144","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/tree_parser.go","primary","ai","356","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","ai/tree_parser_promises_test.go","test_fixture","ai","71","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","app/app.go","primary","app","600","dbbf132a0da74093b5936c73dfc0edb9bcff034e","True","2","False","","","","unknown","unknown","unknown"
"core","app/app_test.go","test_fixture","app","452","dbbf132a0da74093b5936c73dfc0edb9bcff034e","True","1","False","","","","unknown","unknown","unknown"
"core","app/buildinfo/buildinfo.go","primary","app/buildinfo","42","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","app/buildinfo/buildinfo_test.go","test_fixture","app/buildinfo","60","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","app/config_validation.go","primary","app","302","dbbf132a0da74093b5936c73dfc0edb9bcff034e","True","2","False","","","","unknown","unknown","unknown"
"core","app/config_validation_test.go","test_fixture","app","341","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
"core","app/example_test.go","test_fixture","app","101","dbbf132a0da74093b5936c73dfc0edb9bcff034e","False","0","False","","","","unknown","unknown","unknown"
