"repo","directory","files","referenced","confirmed_partial","unreferenced"
"codegen","cmd/attribute","1","0","0","1"
"codegen","cmd/cfggen","1","0","0","1"
"codegen","cmd/dao","1","0","0","1"
"codegen","cmd/entity","1","0","0","1"
"codegen","cmd/errcode","1","0","0","1"
"codegen","cmd/eventgen","1","0","0","1"
"codegen","cmd/nest","1","0","0","1"
"codegen","cmd/project","1","0","0","1"
"codegen","cmd/protocol","1","0","0","1"
"codegen","cmd/roost","1","0","0","1"
"codegen","cmd/servicerpc","1","0","0","1"
"codegen","cmd/tablegen","1","0","0","1"
"codegen","cmd/webroute","1","0","0","1"
"codegen","internal/attribute","5","1","0","4"
"codegen","internal/cfggen","1","0","0","1"
"codegen","internal/dao","8","1","0","7"
"codegen","internal/entity","5","3","3","2"
"codegen","internal/errcode","1","0","0","1"
"codegen","internal/eventgen","6","0","0","6"
"codegen","internal/genutil","2","1","0","1"
"codegen","internal/marker","1","0","0","1"
"codegen","internal/nest","5","0","0","5"
"codegen","internal/project","1","0","0","1"
"codegen","internal/protocol","7","0","0","7"
"codegen","internal/registry","3","1","0","2"
"codegen","internal/roost","29","7","0","22"
"codegen","internal/servicerpc","6","0","0","6"
"codegen","internal/tablegen","1","0","0","1"
"codegen","internal/webroute","3","0","0","3"
"core","actionflow","6","0","0","6"
"core","admin","1","0","0","1"
"core","ai","7","0","0","7"
"core","app","8","3","0","5"
"core","app/buildinfo","1","0","0","1"
"core","bus","8","0","0","8"
"core","cache","11","3","0","8"
"core","clock","1","0","0","1"
"core","cmd/glsvet","1","0","0","1"
"core","configdata","3","0","0","3"
"core","container","4","0","0","4"
"core","dataengine","8","0","0","8"
"core","dataengine/engine","12","4","0","8"
"core","entity","22","9","3","13"
"core","entitysync","1","1","1","0"
"core","errcode","1","0","0","1"
"core","etcd","8","0","0","8"
"core","etcd/driver","7","0","0","7"
"core","event","4","0","0","4"
"core","failurelog","1","0","0","1"
"core","fctx","2","0","0","2"
"core","featureflag","1","0","0","1"
"core","gateway","2","0","0","2"
"core","goroutine","6","0","0","6"
"core","health","1","0","0","1"
"core","hotcode","4","0","0","4"
"core","httpclient","1","0","0","1"
"core","httpserver","1","0","0","1"
"core","index","1","0","0","1"
"core","lifecycle","2","0","0","2"
"core","lock","3","0","0","3"
"core","lockstep","6","3","0","3"
"core","log","4","0","0","4"
"core","manager","2","1","0","1"
"core","metrics","2","0","0","2"
"core","migration","1","0","0","1"
"core","mirror","1","1","0","0"
"core","misc","2","0","0","2"
"core","mongo","8","0","0","8"
"core","mongo/driver","4","0","0","4"
"core","nats","7","3","0","4"
"core","nats/driver","6","3","0","3"
"core","nest","15","11","0","4"
"core","nestwal","11","2","0","9"
"core","nettransport","7","2","0","5"
"core","ownerroute","2","0","0","2"
"core","redis","9","0","0","9"
"core","redis/driver","5","0","0","5"
"core","remoteentity","16","10","0","6"
"core","robot","4","1","0","3"
"core","robot/action","4","0","0","4"
"core","robot/loadtest","2","0","0","2"
"core","robot/protocol","1","0","0","1"
"core","robot/runner","1","0","0","1"
"core","robot/scenario","2","0","0","2"
"core","robot/session","1","0","0","1"
"core","robot/transport","1","0","0","1"
"core","room","5","5","3","0"
"core","safemap","5","0","0","5"
"core","saga","11","3","0","8"
"core","security","3","0","0","3"
"core","service/mail","6","3","0","3"
"core","service/match","6","5","0","1"
"core","service/session","5","2","0","3"
"core","servicemetrics","2","0","0","2"
"core","servicerpc","3","0","0","3"
"core","skill","146","5","0","141"
"core","skill/combat","5","0","0","5"
"core","skill/combatcomponent","3","0","0","3"
"core","skill/skillcompose","15","0","0","15"
"core","skill/skillsync","10","0","0","10"
"core","spatial","6","0","0","6"
"core","statesync","13","10","0","3"
"core","syncbus","3","3","0","0"
"core","syncstream","8","5","0","3"
"core","timer","1","0","0","1"
"core","versionstore","4","3","0","1"
"core","webroute","1","0","0","1"
"core","worker","2","2","0","0"
"kit","configdata","1","0","0","1"
"kit","dataengine","1","1","0","0"
"kit","etcd","1","0","0","1"
"kit","lock","1","0","0","1"
"kit","manager","1","1","0","0"
"kit","mods","5","0","0","5"
"kit","mongo","1","0","0","1"
"kit","nats","1","1","0","0"
"kit","nest","1","0","0","1"
"kit","ops","1","0","0","1"
"kit","redis","1","0","0","1"
"kit","remoteentity","1","0","0","1"
"kit","room","1","1","0","0"
"kit","saga","1","1","0","0"
"kit","service/account","7","1","0","6"
"kit","service/chat","7","1","0","6"
"kit","service/directory","4","1","0","3"
"kit","service/global","6","0","0","6"
"kit","service/global/activity","7","3","0","4"
"kit","service/integration","1","0","0","1"
"kit","service/mail","3","0","0","3"
"kit","service/match","3","1","0","2"
"kit","service/platform","8","2","0","6"
"kit","service/rank","7","0","0","7"
"kit","service/servicemetrics","1","0","0","1"
"kit","service/session","3","0","0","3"
"kit","statslog","1","0","0","1"
